credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid
1,debt_consolidation,0.1189,829.1,11.35040654,19.48,737,15.451940638356163,28854,52.1,0,0,0,0
1,credit_card,0.1071,228.22,11.08214255,14.29,707,7.561643835616438,33623,76.7,0,0,0,0
1,debt_consolidation,0.1357,366.86,10.37349118,11.63,682,12.904109589041095,3511,25.6,1,0,0,0
1,debt_consolidation,0.1008,162.34,11.35040654,8.1,712,7.397146117808219,33667,73.2,1,0,0,0
1,credit_card,0.1426,102.92,11.29973224,14.97,667,11.139726027397261,4740,39.5,0,1,0,0
1,credit_card,0.0788,125.13,11.90496755,16.98,727,16.76723744383562,50807,51.0,0,0,0,0
1,debt_consolidation,0.1496,194.02,10.71441777,4.0,667,8.712442923287671,3839,76.8,0,0,1,1
1,all_other,0.1114,131.22,11.00209984,11.08,722,14.016438356164384,24220,68.6,0,0,0,1
1,home_improvement,0.1134,87.19,11.40756495,17.25,682,10.92876712328767,69909,51.1,1,0,0,0
1,debt_consolidation,0.1221,84.12,10.20359214,10.0,707,7.479566210958904,5630,23.0,1,0,0,0
1,debt_consolidation,0.1347,360.43,10.4341158,22.09,677,18.391894978082192,13846,71.0,2,0,1,0
1,debt_consolidation,0.1324,253.58,11.83500896,9.16,662,11.775342465753425,5122,18.2,2,1,0,0
1,debt_consolidation,0.0859,316.11,10.93310697,15.49,767,17.86289954246575,6068,16.7,0,0,0,0
1,small_business,0.0714,92.82,11.51292546,6.5,747,12.01095890410959,3021,4.8,0,1,0,0
1,debt_consolidation,0.0863,209.54,9.487972109,9.73,727,4.273858446575343,6282,44.6,0,0,0,0
1,major_purchase,0.1103,327.53,10.73891524,13.04,702,22.356050227397258,5394,53.4,1,0,0,0
1,all_other,0.1317,77.69,10.52277288,2.26,672,10.673858446575343,2211,88.4,0,0,0,0
1,credit_card,0.0894,476.58,11.60823564,7.07,797,17.838242008219176,7586,52.7,1,0,0,0
1,debt_consolidation,0.1039,584.12,10.49127422,3.8,712,7.561643835616438,8311,59.8,0,0,0,0
1,major_purchase,0.1513,173.65,11.00209984,2.74,667,3.087557076712329,591,84.4,3,0,0,0
1,all_other,0.08,188.02,11.22524339,16.08,772,13.394406391780821,29797,23.2,1,0,0,0
1,all_other,0.0863,474.42,10.81977828,2.59,797,32.74246575342466,5656,27.6,0,0,0,0
1,credit_card,0.1355,339.6,11.51292546,7.94,662,5.314954336986301,21162,57.7,0,0,0,0
1,credit_card,0.0788,484.85,11.73606902,7.05,782,15.452168950684932,16931,34.6,1,0,0,0
1,debt_consolidation,0.1229,320.19,11.26446411,8.8,672,10.303995432876713,4822,58.1,0,0,1,0
1,all_other,0.0901,159.03,12.429216199999999,10.0,712,4.257420090410959,14354,36.6,0,2,0,0
1,all_other,0.0743,155.38,11.08214255,0.28,802,12.739611871232876,1576,5.7,1,0,0,0
1,debt_consolidation,0.1375,255.43,9.998797732,14.29,662,3.613584473972603,4175,51.5,0,1,0,0
1,all_other,0.0743,155.38,12.20607265,0.28,772,12.37522830958904,3164,13.7,0,0,0,0
1,all_other,0.0743,155.38,12.20607265,3.72,812,18.572488583561643,85607,0.7,0,0,0,0
1,debt_consolidation,0.0807,156.84,11.51292546,2.3,742,8.627283104109589,9698,19.4,0,0,0,0
1,credit_card,0.1028,275.38,9.798127037,6.4,692,20.46563926849315,8847,26.9,1,1,0,0
1,home_improvement,0.0743,155.38,11.91839057,0.0,777,19.531392693150682,6053,19.5,0,0,0,0
1,home_improvement,0.0807,78.42,11.60823564,11.33,762,16.60262556986301,7274,13.1,0,0,0,0
1,credit_card,0.087,158.3,11.22524339,15.55,757,13.068493150684931,66033,23.0,0,0,0,0
1,all_other,0.0743,155.38,11.46163217,3.83,772,6.945205479452055,3660,6.8,0,0,0,0
1,credit_card,0.0743,155.38,11.35040654,0.31,787,9.698630136986301,216,0.6,0,0,0,0
1,credit_card,0.1122,164.23,11.28978191,1.21,672,10.931506849315069,27185,16.1,3,0,1,0
1,debt_consolidation,0.0996,161.25,10.77895629,8.03,707,11.835616438356164,28329,48.6,1,0,0,0
1,home_improvement,0.0933,159.77,12.10071213,11.93,717,12.32591324109589,60568,39.2,1,0,0,0
1,home_improvement,0.0807,156.84,12.10071213,5.55,742,11.01095890410959,40934,26.3,0,0,0,0
1,debt_consolidation,0.0743,155.38,11.69524702,2.29,777,9.698630136986301,8379,16.9,0,0,0,0
1,small_business,0.087,94.98,10.1266311,14.54,752,6.739726027397261,3660,7.8,1,0,0,0
1,home_improvement,0.1028,97.2,12.20607265,0.0,677,10.35605022739726,0,0.0,0,1,0,0
1,credit_card,0.1122,164.23,10.30895266,18.64,702,14.219178082191782,15840,47.1,0,0,0,0
1,credit_card,0.0838,167.02,11.21182037,14.37,797,15.372488583561642,6844,14.4,0,0,0,0
1,educational,0.0775,168.6,8.987196821,3.0,762,18.246461186301367,1321,16.5,0,0,0,0
1,all_other,0.0838,160.72,10.37349118,14.78,772,11.997260273972604,4737,23.9,0,0,0,0
1,credit_card,0.0901,159.03,11.19821472,9.96,722,8.46563926849315,23489,37.6,0,0,0,0
1,debt_consolidation,0.0743,178.69,11.73606902,0.27,792,20.517694063013696,2817,10.2,0,0,0,0
1,credit_card,0.0743,155.38,10.71441777,1.12,782,15.90958904109589,1783,0.0,1,0,0,0
1,small_business,0.1028,323.98,10.217422000000001,10.7,712,3.778082191780822,3534,54.4,0,0,0,0
1,small_business,0.1059,813.65,10.77895629,4.05,762,7.479337898630137,2422,23.3,0,0,0,0
1,educational,0.0996,112.87,9.510444964,16.44,712,4.520433789041096,2864,41.1,1,0,0,0
1,debt_consolidation,0.1596,94.88,10.86283777,12.57,627,3.8602739726027395,3075,92.3,1,0,0,0
1,small_business,0.1059,398.69,11.00209984,17.12,747,38.38070775342466,17214,8.1,2,1,0,0
